,fid,nunivotcda,cocursodag,cocdadesag,max
20956,9124,7.0,8631932,86,
20957,9124,7.0,8631932,86,
20958,9124,7.0,8631932,86,
20959,9124,7.0,8631932,86,
20960,9124,7.0,8631932,86,
20961,9124,7.0,8631932,86,
20962,9124,7.0,8631932,86,
20963,9124,7.0,8631932,86,
20964,9124,7.0,8631932,86,
20965,9124,7.0,8631932,86,
20966,9124,7.0,8631932,86,7.2749999999999995
20967,9125,10.0,8631932112,8631932,7.2749999999999995
20968,9125,10.0,8631932112,8631932,7.275
20969,9126,10.0,8631932172,8631932,7.275
20970,9126,10.0,8631932172,8631932,7.275
20971,9127,9.0,863193218,8631932,7.275
20972,9127,9.0,863193218,8631932,7.275
20973,9128,8.0,86319322,8631932,7.275
20974,9128,8.0,86319322,8631932,7.275
20975,9128,8.0,86319322,8631932,7.275
20976,9128,8.0,86319322,8631932,7.275
20977,9128,8.0,86319322,8631932,7.275
20978,9128,8.0,86319322,8631932,7.275
20979,9128,8.0,86319322,8631932,7.275
20980,9128,8.0,86319322,8631932,7.275
20981,9129,9.0,863193222,86319322,7.275
20982,9129,9.0,863193222,86319322,7.275
20983,9129,9.0,863193222,86319322,7.275
20984,9129,9.0,863193222,86319322,7.275
20985,9129,9.0,863193222,86319322,7.2749999999999995
20986,9130,10.0,8631932222,863193222,7.275
20987,9130,10.0,8631932222,863193222,7.275
20988,9130,10.0,8631932222,863193222,7.275
20989,9131,10.0,8631932224,863193222,7.275
20990,9131,10.0,8631932224,863193222,7.275
20991,9132,10.0,8631932422,863193242,
20992,9132,10.0,8631932422,863193242,
20993,9132,10.0,8631932422,863193242,
20994,9133,10.0,8631932226,863193222,7.2749999999999995
20995,9133,10.0,8631932226,863193222,7.2749999999999995
20996,9133,10.0,8631932226,863193222,7.2749999999999995
20997,9134,9.0,863193224,86319322,7.2749999999999995
20998,9134,9.0,863193224,86319322,7.2749999999999995
20999,9134,9.0,863193224,86319322,7.2749999999999995
21000,9135,9.0,863193226,86319322,7.275
21001,9135,9.0,863193226,86319322,7.275
21002,9136,9.0,863193228,86319322,7.275
21003,9136,9.0,863193228,86319322,7.275
21004,9137,9.0,863193232,8631932,7.2749999999999995
21005,9137,9.0,863193232,8631932,7.2749999999999995
21006,9138,9.0,863193234,8631932,7.2749999999999995
21007,9138,9.0,863193234,8631932,7.2749999999999995
21008,9139,10.0,8631932352,8631932,7.2749999999999995
21009,9139,10.0,8631932352,8631932,7.2749999999999995
21010,9140,9.0,863193236,8631932,7.2749999999999995
21011,9140,9.0,863193236,8631932,7.275
21012,9141,9.0,863193238,8631932,7.2749999999999995
21013,9141,9.0,863193238,8631932,7.275
21014,9142,8.0,86319324,8631932,7.275
21015,9142,8.0,86319324,8631932,7.275
21016,9142,8.0,86319324,8631932,7.275
21017,9143,9.0,863193272,8631932,
